,movie_id,title,release_date,genre_ids,popularity,vote_avg,vote_count,Rank,Name,Total_Rev,Domestic_Rev,Foreign_Rev,Foreign_Percent,Domestic_Percent
0,221,Rebel Without a Cause,2018-09-23,18,8.677,7.7,827,549,Rebel Without a Cause 2018 Re-release,199963,199963,0,100.0,0.0
1,424,Schindler's List,1993-12-15,18,28.866999999999997,8.6,8804,387,Schindler's List 2018 Re-release,937140,833050,104090,88.9,11.1
7,2280,Big,1988-06-03,35,10.672,7.0,1985,521,Big 2018 Re-release,258507,258507,0,100.0,0.0
9,8392,My Neighbor Totoro,2018-12-11,16,34.372,8.1,3616,143,My Neighbor Totoro 2018 Re-release,27083857,1144649,25939208,4.2,95.8
10,10148,Krystal,2018-04-13,35,4.5569999999999995,4.6,25,721,Krystal,37516,37516,0,100.0,0.0
11,11506,The Silence,1964-02-03,18,7.95,7.5,166,505,The Silence of Others,289455,67986,221469,23.5,76.5
12,50022,Super Troopers 2,2018-04-20,35,11.602,5.8,230,133,Super Troopers 2,31626386,30617396,1008990,96.8,3.2
13,220882,London Fields,2018-10-26,80,13.536,5.1,91,443,London Fields,487420,252676,234744,51.8,48.2
14,260513,Incredibles 2,2018-06-15,28,27.087,7.5,7299,4,Incredibles 2,1242805359,608581744,634223615,49.0,51.0
15,268896,Pacific Rim: Uprising,2018-03-23,28,21.795,5.9,2533,34,Pacific Rim: Uprising,290930148,59874525,231055623,20.6,79.4
16,284054,Black Panther,2018-02-16,28,43.492,7.4,13751,2,Black Panther,1346913161,700059566,646853595,52.0,48.0
17,287523,Death House,2018-02-28,27,4.063,3.1,19,758,Death House,23833,23833,0,100.0,0.0
18,297802,Aquaman,2018-12-21,28,31.629,6.8,7462,5,Aquaman,1148161807,335061807,813100000,29.2,70.8
19,299536,Avengers: Infinity War,2018-04-27,28,84.844,8.3,15989,1,Avengers: Infinity War,2048359754,678815482,1369544272,33.1,66.9
20,300668,Annihilation,2018-02-23,27,25.074,6.3,4995,113,Annihilation,43070915,32732301,10338614,76.0,24.0
30,322520,Hal,2018-01-22,99,3.585,0.0,1,700,Hal,49045,48698,347,99.3,0.7
34,324538,Damascus Cover,2018-07-20,9648,5.006,5.6,26,781,Damascus Cover,19532,0,19532,0.0,100.0
35,324857,Spider-Man: Into the Spider-Verse,2018-12-14,28,41.288000000000004,8.4,5777,24,Spider-Man: Into the Spider-Verse,375540831,190241310,185299521,50.7,49.3
40,332283,Mary Shelley,2018-05-25,18,10.619000000000002,7.1,501,324,Mary Shelley,2096600,108900,1987700,5.2,94.8
41,332562,A Star Is Born,2018-10-05,18,61.423,7.5,6916,20,A Star Is Born,434888866,215288866,219600000,49.5,50.5
42,332718,Bilal: A New Breed of Hero,2018-02-02,28,6.681,6.9,60,426,Bilal: A New Breed of Hero 2018 Re-release,576805,490973,85832,85.1,14.9
43,333339,Ready Player One,2018-03-29,12,25.921,7.6,8023,12,Ready Player One,582890172,137690172,445200000,23.6,76.4
44,334546,In Searching,2018-12-04,12,0.6,0.0,0,858,In Searching,5210,5210,0,100.0,0.0
45,335983,Venom,2018-10-05,28,37.059,6.6,7531,7,Venom,856085151,213515506,642569645,24.9,75.1
46,336843,Maze Runner: The Death Cure,2018-01-26,28,21.704,7.0,4308,35,Maze Runner: The Death Cure,288175335,58032443,230142892,20.1,79.9
47,337167,Fifty Shades Freed,2018-02-09,18,20.455,6.2,3816,25,Fifty Shades Freed,371985018,100407760,271577258,27.0,73.0
48,338768,Please Stand By,2018-01-26,35,8.523,6.9,211,462,Please Stand By,406732,9868,396864,2.4,97.6
49,338952,Fantastic Beasts: The Crimes of Grindelwald,2018-11-16,12,27.631999999999998,6.9,5778,10,Fantastic Beasts: The Crimes of Grindelwald,653755901,159555901,494200000,24.4,75.6
50,338970,Tomb Raider,2018-03-16,28,19.857,6.3,4809,36,Tomb Raider,274650803,58250803,216400000,21.2,78.8
51,339103,Gotti,2018-06-15,80,12.925999999999998,5.2,316,244,Gotti,6412349,4343227,2069122,67.7,32.3
52,339380,On the Basis of Sex,2018-12-25,18,14.122,7.4,364,123,On the Basis of Sex,38673750,24622687,14051063,63.7,36.3
53,340022,Gringo,2018-03-09,28,13.37,5.9,389,209,Gringo,11001627,4969853,6031774,45.2,54.8
54,340613,The Wife,2018-08-17,18,13.7,7.2,568,167,The Wife,18205312,9601092,8604220,52.7,47.3
55,341689,How to Talk to Girls at Parties,2018-05-25,35,10.005,6.3,181,470,How To Talk To Girls at Parties,385733,84809,300924,22.0,78.0
56,341735,The Seagull,2018-05-11,35,7.422999999999999,5.8,35,335,The Seagull,1820461,1252960,567501,68.8,31.2
57,345887,The Equalizer 2,2018-07-20,53,22.583000000000002,6.5,2416,43,The Equalizer 2,190400157,102084362,88315795,53.6,46.4
58,345940,The Meg,2018-08-10,28,28.77,5.9,3401,15,The Meg,530243742,145443742,384800000,27.4,72.6
113,346364,It,2017-09-08,27,22.785999999999998,7.2,12309,556,Owaranai hito: Miyazaki Hayao,187320,187320,0,100.0,0.0
134,346910,The Predator,2018-09-14,28,23.076,5.3,2377,47,The Predator,160542134,51024708,109517426,31.8,68.2
135,347375,Mile 22,2018-08-17,28,17.537,6.0,1119,93,Mile 22,66308758,36108758,30200000,54.5,45.5
136,347866,Hot Summer Nights,2017-03-14,18,8.991,6.6,187,523,Hot Summer Nights,246133,0,246133,0.0,100.0
137,348350,Solo: A Star Wars Story,2018-05-25,28,36.284,6.6,4470,23,Solo: A Star Wars Story,392924807,213767512,179157295,54.4,45.6
138,351044,Welcome to Marwen,2018-12-21,35,14.247,6.5,493,194,Welcome to Marwen,13061491,10763520,2297971,82.4,17.6
139,351286,Jurassic World: Fallen Kingdom,2018-06-22,28,30.743000000000002,6.5,6636,3,Jurassic World: Fallen Kingdom,1308467944,417719760,890748184,31.9,68.1
140,353081,Mission: Impossible - Fallout,2018-07-27,28,31.377,7.3,4373,8,Mission: Impossible - Fallout,791115104,220159104,570956000,27.8,72.2
141,353486,Jumanji: Welcome to the Jungle,2017-12-20,28,26.351,6.7,7988,699,Jumanji/Jumanji: Welcome to the Jungle,49381,49381,0,100.0,0.0
143,356199,Amazing Grace,2018-11-12,99,7.6610000000000005,7.6,17,238,Amazing Grace,7212253,4450456,2761797,61.7,38.3
144,358395,Origin Story,2018-05-03,99,1.5830000000000002,6.0,1,630,Meow Wolf: Origin Story,99488,99488,0,100.0,0.0
145,360920,The Grinch,2018-11-09,16,33.597,6.5,1323,18,Dr. Seuss' The Grinch,511595957,270620950,240975007,52.9,47.1
146,361292,Suspiria,2018-10-26,14,20.338,6.9,1033,210,Suspiria,10917242,5458621,5458621,50.0,50.0
