Rank,Name,Total_Rev,Domestic_Rev,Foreign_Rev,Foreign_Percent,Domestic_Percent
1,"Avengers: Infinity War",2048359754,678815482,1369544272,33.1,66.9
2,"Black Panther",1346913161,700059566,646853595,52,48
3,"Jurassic World: Fallen Kingdom",1308467944,417719760,890748184,31.9,68.1
4,"Incredibles 2",1242805359,608581744,634223615,49,51
5,Aquaman,1148161807,335061807,813100000,29.2,70.8
6,"Bohemian Rhapsody",903655259,216428042,687227217,24,76
7,Venom,856085151,213515506,642569645,24.9,75.1
8,"Mission: Impossible - Fallout",791115104,220159104,570956000,27.8,72.2
9,"Deadpool 2",734546611,318491426,416055185,43.4,56.6
10,"Fantastic Beasts: The Crimes of Grindelwald",653755901,159555901,494200000,24.4,75.6
11,"Ant-Man and the Wasp",622674139,216648740,406025399,34.8,65.2
12,"Ready Player One",582890172,137690172,445200000,23.6,76.4
13,"Operation Red Sea",579220560,1543547,577677013,0.3,99.7
14,"Detective Chinatown 2",544061916,1983984,542077932,0.4,99.6
15,"The Meg",530243742,145443742,384800000,27.4,72.6
16,"Ralph Breaks the Internet",529323962,201091711,328232251,38,62
17,"Hotel Transylvania 3: Summer Vacation",528583774,167510016,361073758,31.7,68.3
18,"Dr. Seuss' The Grinch",511595957,270620950,240975007,52.9,47.1
19,Bumblebee,467989645,127195589,340794056,27.2,72.8
20,"A Star Is Born",434888866,215288866,219600000,49.5,50.5
21,Rampage,428028233,101028233,327000000,23.6,76.4
22,"Mamma Mia! Here We Go Again",395044706,120634935,274409771,30.5,69.5
23,"Solo: A Star Wars Story",392924807,213767512,179157295,54.4,45.6
24,"Spider-Man: Into the Spider-Verse",375540831,190241310,185299521,50.7,49.3
25,"Fifty Shades Freed",371985018,100407760,271577258,27,73
26,"The Nun",365550119,117450119,248100000,32.1,67.9
27,"Monster Hunt 2",361682618,706153,360976465,0.2,99.8
28,"Peter Rabbit",351266433,115253424,236013009,32.8,67.2
29,"Mary Poppins Returns",349537494,171958438,177579056,49.2,50.8
30,"A Quiet Place",340939361,188024361,152915000,55.1,44.9
31,"Green Book",321752656,85080171,236672485,26.4,73.6
32,Skyscraper,304868961,68420120,236448841,22.4,77.6
33,"Ocean's Eight",297718711,140218711,157500000,47.1,52.9
34,"Pacific Rim: Uprising",290930148,59874525,231055623,20.6,79.4
35,"Maze Runner: The Death Cure",288175335,58032443,230142892,20.1,79.9
36,"Tomb Raider",274650803,58250803,216400000,21.2,78.8
37,Halloween,255485178,159342015,96143163,62.4,37.6
38,"Crazy Rich Asians",238532921,174532921,64000000,73.2,26.8
39,"Creed II",214115889,115715889,98400000,54,46
40,Smallfoot,214040103,83240103,130800000,38.9,61.1
41,"The Island",198326350,670883,197655467,0.3,99.7
42,"Christopher Robin",197744377,99215042,98529335,50.2,49.8
43,"The Equalizer 2",190400157,102084362,88315795,53.6,46.4
44,"The Mule",174504407,103804407,70700000,59.5,40.5
45,"The Nutcracker and the Four Realms",173961069,54858851,119102218,31.5,68.5
46,"Insidious: The Last Key",167885588,67745330,100140258,40.4,59.6
47,"The Predator",160542134,51024708,109517426,31.8,68.2
48,"Johnny English Strikes Again",158970776,4412170,154558606,2.8,97.2
49,"Red Sparrow",151572634,46874505,104698129,30.9,69.1
50,"More Than Blue",142958164,722669,142235495,0.5,99.5
51,"The First Purge",137056262,69488745,67567517,50.7,49.3
52,"A Wrinkle in Time",132675864,100478608,32197256,75.7,24.3
53,"The House with a Clock in Its Walls",131457147,68549695,62907452,52.1,47.9
54,"Instant Family",120556201,67363237,53192964,55.9,44.1
55,"A Cool Fish",118153135,551876,117601259,0.5,99.5
56,"Game Night",117679066,69179066,48500000,58.8,41.2
57,"The Monkey King 3",115084576,187074,114897502,0.2,99.8
58,"Dragon Ball Super: Broly",114102821,30712119,83390702,26.9,73.1
59,"First Man",105697415,44936545,60760870,42.5,57.5
60,"Book Club",104438188,68566296,35871892,65.7,34.3
61,"Night School",103105878,77339130,25766748,75,25
62,Alpha,98203196,35857181,62346015,36.5,63.5
63,"Along With the Gods: The Last 49 Days",97962238,1200246,96761992,1.2,98.8
64,"A Simple Favor",97644617,53548586,44096031,54.8,45.2
65,"The Favourite",95918706,34366783,61551923,35.8,64.2
66,"Blumhouse's Truth or Dare",95330493,41411015,53919478,43.4,56.6
67,"I Feel Pretty",94539426,48795601,45743825,51.6,48.4
68,Blockers,94017294,60311495,33705799,64.1,35.9
69,BlacKkKlansman,93400823,49275340,44125483,52.8,47.2
70,"Goosebumps 2: Haunted Halloween",93320380,46700633,46619747,50,50
71,Shadow,91708374,521396,91186978,0.6,99.4
72,Overboard,91244913,50316123,40928790,55.1,44.9
73,"Sherlock Gnomes",90345871,43242871,47103000,47.9,52.1
74,"Detective Dee: The Four Heavenly Kings",90040771,262963,89777808,0.3,99.7
75,"I Can Only Imagine",86022265,83482352,2539913,97,3
