movie_id,title,release_date,genre_ids,popularity,vote_avg,vote_count,genre_id,genre,Rank,Name,Total_Rev,Domestic_Rev,Foreign_Rev,Foreign_Percent,Domestic_Percent
299536,"Avengers: Infinity War",2018-04-27,28,84.844,8.3,15989,28,Action,1,"Avengers: Infinity War",2048359754,678815482,1369544272,33.1,66.9
284054,"Black Panther",2018-02-16,28,43.492,7.4,13751,28,Action,2,"Black Panther",1346913161,700059566,646853595,52,48
351286,"Jurassic World: Fallen Kingdom",2018-06-22,28,30.743,6.5,6636,28,Action,3,"Jurassic World: Fallen Kingdom",1308467944,417719760,890748184,31.9,68.1
260513,"Incredibles 2",2018-06-15,28,27.087,7.5,7299,28,Action,4,"Incredibles 2",1242805359,608581744,634223615,49,51
297802,Aquaman,2018-12-21,28,31.629,6.8,7462,28,Action,5,Aquaman,1148161807,335061807,813100000,29.2,70.8
424694,"Bohemian Rhapsody",2018-11-02,18,43.607,8,9339,18,Drama,6,"Bohemian Rhapsody",903655259,216428042,687227217,24,76
335983,Venom,2018-10-05,28,37.059,6.6,7531,28,Action,7,Venom,856085151,213515506,642569645,24.9,75.1
353081,"Mission: Impossible - Fallout",2018-07-27,28,31.377,7.3,4373,28,Action,8,"Mission: Impossible - Fallout",791115104,220159104,570956000,27.8,72.2
383498,"Deadpool 2",2018-05-10,28,37.399,7.5,9966,28,Action,9,"Deadpool 2",734546611,318491426,416055185,43.4,56.6
338952,"Fantastic Beasts: The Crimes of Grindelwald",2018-11-16,12,27.632,6.9,5778,12,Adventure,10,"Fantastic Beasts: The Crimes of Grindelwald",653755901,159555901,494200000,24.4,75.6
363088,"Ant-Man and the Wasp",2018-07-06,28,30.011,7,7337,28,Action,11,"Ant-Man and the Wasp",622674139,216648740,406025399,34.8,65.2
333339,"Ready Player One",2018-03-29,12,25.921,7.6,8023,12,Adventure,12,"Ready Player One",582890172,137690172,445200000,23.6,76.4
460555,"Operation Red Sea",2018-02-23,28,12.103,6.6,68,28,Action,13,"Operation Red Sea",579220560,1543547,577677013,0.3,99.7
345940,"The Meg",2018-08-10,28,28.77,5.9,3401,28,Action,15,"The Meg",530243742,145443742,384800000,27.4,72.6
404368,"Ralph Breaks the Internet",2018-11-21,12,32.646,7.2,3475,12,Adventure,16,"Ralph Breaks the Internet",529323962,201091711,328232251,38,62
400155,"Hotel Transylvania 3: Summer Vacation",2018-06-30,16,20.283,6.8,1940,16,Animation,17,"Hotel Transylvania 3: Summer Vacation",528583774,167510016,361073758,31.7,68.3
424783,Bumblebee,2018-12-21,28,27.369,6.5,3095,28,Action,19,Bumblebee,467989645,127195589,340794056,27.2,72.8
332562,"A Star Is Born",2018-10-05,18,61.423,7.5,6916,18,Drama,20,"A Star Is Born",434888866,215288866,219600000,49.5,50.5
427641,Rampage,2018-04-13,28,25.87,6.2,3562,28,Action,21,Rampage,428028233,101028233,327000000,23.6,76.4
458423,"Mamma Mia! Here We Go Again",2018-07-20,35,13.587,7.2,1945,35,Comedy,22,"Mamma Mia! Here We Go Again",395044706,120634935,274409771,30.5,69.5
348350,"Solo: A Star Wars Story",2018-05-25,28,36.284,6.6,4470,28,Action,23,"Solo: A Star Wars Story",392924807,213767512,179157295,54.4,45.6
324857,"Spider-Man: Into the Spider-Verse",2018-12-14,28,41.288,8.4,5777,28,Action,24,"Spider-Man: Into the Spider-Verse",375540831,190241310,185299521,50.7,49.3
337167,"Fifty Shades Freed",2018-02-09,18,20.455,6.2,3816,18,Drama,25,"Fifty Shades Freed",371985018,100407760,271577258,27,73
