movie_id,title,release_date,genre_ids,popularity,vote_avg,vote_count,genre_id,genre
62,"2001: A Space Odyssey",1968-04-10,12,28.356,8,6443,12,Adventure
221,"Rebel Without a Cause",2018-09-23,18,8.677,7.7,827,18,Drama
239,"Some Like It Hot",1959-03-18,35,14.462,8.2,1731,35,Comedy
424,"Schindler's List",1993-12-15,18,28.867,8.6,8804,18,Drama
490,"The Seventh Seal",1958-10-13,18,12.588,8.2,1309,18,Drama
614,"Wild Strawberries",1957-12-26,18,10.206,8.1,668,18,Drama
797,Persona,1967-03-06,18,12.609,8.3,839,18,Drama
2280,Big,1988-06-03,35,10.672,7,1985,35,Comedy
5961,"Fanny & Alexander",1983-06-17,18,8.557,7.8,316,18,Drama
8392,"My Neighbor Totoro",2018-12-11,16,34.372,8.1,3616,16,Animation
10148,Krystal,2018-04-13,35,4.557,4.6,25,35,Comedy
10238,"Cries and Whispers",1972-12-21,18,9.746,8,266,18,Drama
11253,"Hellboy II: The Golden Army",2008-07-11,14,12.838,6.7,3095,14,Fantasy
11299,"Cowboy Bebop: The Movie",2002-08-11,28,11.13,7.7,355,28,Action
11506,"The Silence",1964-02-03,18,7.95,7.5,166,18,Drama
11656,"The Virgin Spring",1960-02-08,80,11.204,8,237,80,Crime
12761,"Autumn Sonata",1978-10-08,18,7.215,8.1,180,18,Drama
18333,"Hour of the Wolf",1968-04-08,18,7.963,7.6,194,18,Drama
25142,"The Banishment",2018-01-18,18,4.663,7.2,56,18,Drama
26372,Shame,1968-12-23,18,6.149,7.8,87,18,Drama
28337,"Cannibal Hookers",1987-01-01,35,1.568,2,2,35,Comedy
29455,"Winter Light",2018-11-20,18,10.93,8,164,18,Drama
35861,"The Crucified Lovers",1958-01-01,18,4.086,7.8,43,18,Drama
42602,"The Passion of Anna",2018-11-20,18,3.776,7.5,69,18,Drama
44864,"The Magic Flute",1975-11-11,35,2.922,7.3,33,35,Comedy
45941,"This Can't Happen Here",2018-05-09,18,1.4,4.8,7,18,Drama
47721,"Sawdust and Tinsel",2018-12-18,18,4.469,7.3,66,18,Drama
50022,"Super Troopers 2",2018-04-20,35,11.602,5.8,230,35,Comedy
66664,"Shocking Dark",2018-05-04,28,2.782,5.5,17,28,Action
66744,"Garo Special: Beast of the Demon Night",2018-06-26,28,1.383,8,1,28,Action
71142,"One Good Cop",1991-05-03,18,4.606,5.1,24,18,Drama
74673,"A Year in My Life",2018-08-14,18,1.142,4.8,6,18,Drama
75930,"GARO: Red Requiem",2018-04-10,28,2.125,5.6,4,28,Action
84996,"Scream for Help",1986-10-01,80,2.371,5.6,12,80,Crime
133919,"Scenes from a Marriage",1974-09-15,18,5.797,8.2,102,18,Drama
141052,"Justice League",2017-11-17,28,40.225,6.2,8179,28,Action
181808,"Star Wars: The Last Jedi",2017-12-15,28,52.803,7,9309,28,Action
196712,Edge,2018-08-03,53,1.222,0,0,53,Thriller
199928,"The Outsider",2018-03-09,80,11.052,6.2,276,80,Crime
205887,"In Saturn's Rings",2014-07-01,99,1.466,0,0,99,Documentary
207680,"Return to... Return to Nuke 'Em High AKA Vol. 2",2017-01-15,35,3.172,8.3,4,35,Comedy
220882,"London Fields",2018-10-26,80,13.536,5.1,91,80,Crime
224337,"MisLead: America's Secret Epidemic",2018-03-01,99,0.6,0,0,99,Documentary
241863,"As the Gods Will",2018-05-05,53,5.968,7.1,104,53,Thriller
252509,"The Satellite Girl And Milk Cow",2018-06-02,16,1.4,7.8,8,16,Animation
257171,"Garo - Kiba: The Dark Knight",2018-02-20,14,6.022,5.5,5,14,Fantasy
259392,"Within the Darkness",2018-03-27,27,0.657,3.8,2,27,Horror
260513,"Incredibles 2",2018-06-15,28,27.087,7.5,7299,28,Action
268896,"Pacific Rim: Uprising",2018-03-23,28,21.795,5.9,2533,28,Action
270805,"Summer League",2013-03-18,35,0.6,4,3,35,Comedy
271071,"Jesus: He Lived Among Us",2011-01-01,0,0.6,0,0,0,
271706,"Big Fish & Begonia",2018-04-06,12,7.147,7.6,179,12,Adventure
271715,"Basmati Blues",2018-02-09,35,5.377,4.9,15,35,Comedy
274855,Geostorm,2017-10-20,28,17.115,5.8,2445,28,Action
275599,"Ninja Busters",1984-11-09,35,1.156,6.5,1,35,Comedy
