movie_id,title,release_date,genre_ids,popularity,vote_avg,vote_count,Rank,Name,Total_Rev,Domestic_Rev,Foreign_Rev,Foreign_Percent,Domestic_Percent
221,"Rebel Without a Cause",2018-09-23,18,8.677,7.7,827,549,"Rebel Without a Cause 2018 Re-release",199963,199963,0,100,0
424,"Schindler's List",1993-12-15,18,28.867,8.6,8804,387,"Schindler's List 2018 Re-release",937140,833050,104090,88.9,11.1
797,Persona,1967-03-06,18,12.609,8.3,839,730,"PGS: Intuition Is Your Personal Guidance System",35423,35423,0,100,0
2280,Big,1988-06-03,35,10.672,7,1985,153,"Big Brother",22090304,85624,22004680,0.4,99.6
2280,Big,1988-06-03,35,10.672,7,1985,278,"Gosnell: The Trial of America's Biggest Serial Killer",3679893,3679893,0,100,0
2280,Big,1988-06-03,35,10.672,7,1985,423,"DCI 2019: Big, Loud & Live 16",603320,603320,0,100,0
2280,Big,1988-06-03,35,10.672,7,1985,425,"The Big Lebowski 2018 Re-release",592832,582585,10247,98.3,1.7
2280,Big,1988-06-03,35,10.672,7,1985,521,"Big 2018 Re-release",258507,258507,0,100,0
2280,Big,1988-06-03,35,10.672,7,1985,697,Bigger,51684,46382,5302,89.7,10.3
8392,"My Neighbor Totoro",2018-12-11,16,34.372,8.1,3616,143,"My Neighbor Totoro 2018 Re-release",27083857,1144649,25939208,4.2,95.8
10148,Krystal,2018-04-13,35,4.557,4.6,25,721,Krystal,37516,37516,0,100,0
11506,"The Silence",1964-02-03,18,7.95,7.5,166,505,"The Silence of Others",289455,67986,221469,23.5,76.5
50022,"Super Troopers 2",2018-04-20,35,11.602,5.8,230,133,"Super Troopers 2",31626386,30617396,1008990,96.8,3.2
220882,"London Fields",2018-10-26,80,13.536,5.1,91,443,"London Fields",487420,252676,234744,51.8,48.2
260513,"Incredibles 2",2018-06-15,28,27.087,7.5,7299,4,"Incredibles 2",1242805359,608581744,634223615,49,51
268896,"Pacific Rim: Uprising",2018-03-23,28,21.795,5.9,2533,34,"Pacific Rim: Uprising",290930148,59874525,231055623,20.6,79.4
284054,"Black Panther",2018-02-16,28,43.492,7.4,13751,2,"Black Panther",1346913161,700059566,646853595,52,48
287523,"Death House",2018-02-28,27,4.063,3.1,19,758,"Death House",23833,23833,0,100,0
297802,Aquaman,2018-12-21,28,31.629,6.8,7462,5,Aquaman,1148161807,335061807,813100000,29.2,70.8
299536,"Avengers: Infinity War",2018-04-27,28,84.844,8.3,15989,1,"Avengers: Infinity War",2048359754,678815482,1369544272,33.1,66.9
300668,Annihilation,2018-02-23,27,25.074,6.3,4995,113,Annihilation,43070915,32732301,10338614,76,24
322520,Hal,2018-01-22,99,3.585,0,1,37,Halloween,255485178,159342015,96143163,62.4,37.6
322520,Hal,2018-01-22,99,3.585,0,1,70,"Goosebumps 2: Haunted Halloween",93320380,46700633,46619747,50,50
322520,Hal,2018-01-22,99,3.585,0,1,163,"They Shall Not Grow Old 2018 Re-release",19130011,17956913,1173098,93.9,6.1
322520,Hal,2018-01-22,99,3.585,0,1,416,"Batti Gul Meter Chalu",635869,249539,386330,39.2,60.8
322520,Hal,2018-01-22,99,3.585,0,1,561,"Harry Potter and the Deathly Hallows: Part 2 2018 Re-release",181938,181938,0,100,0
322520,Hal,2018-01-22,99,3.585,0,1,580,"Harry Potter and the Deathly Hallows: Part 1 2018 Re-release",148263,148263,0,100,0
322520,Hal,2018-01-22,99,3.585,0,1,597,"Harry Potter and the Half-Blood Prince 2018 Re-release",130081,130081,0,100,0
322520,Hal,2018-01-22,99,3.585,0,1,618,"Hale County This Morning, This Evening",112282,112282,0,100,0
322520,Hal,2018-01-22,99,3.585,0,1,692,"The Legend of Hallowaiian",53738,451,53287,0.8,99.2
322520,Hal,2018-01-22,99,3.585,0,1,700,Hal,49045,48698,347,99.3,0.7
322520,Hal,2018-01-22,99,3.585,0,1,766,"Half the Picture",21589,21589,0,100,0
322520,Hal,2018-01-22,99,3.585,0,1,851,"A Whale of a Tale",6747,6747,0,100,0
322520,Hal,2018-01-22,99,3.585,0,1,895,"Half Brothers",1100,1100,0,100,0
324538,"Damascus Cover",2018-07-20,9648,5.006,5.6,26,781,"Damascus Cover",19532,0,19532,0,100
324857,"Spider-Man: Into the Spider-Verse",2018-12-14,28,41.288,8.4,5777,24,"Spider-Man: Into the Spider-Verse",375540831,190241310,185299521,50.7,49.3
330354,Tomorrow,2018-10-19,18,2.269,0,0,657,"Above and Beyond: NASA's Journey to Tomorrow",74711,74711,0,100,0
330354,Tomorrow,2018-10-19,18,2.269,0,0,727,"The House of Tomorrow",35821,35821,0,100,0
330354,Tomorrow,2018-10-19,18,2.269,0,0,742,"Restoring Tomorrow",28556,28556,0,100,0
331986,"The Public",2019-04-05,18,7.732,6.5,21,807,"The Public Image is Rotten",14464,11293,3171,78.1,21.9
332283,"Mary Shelley",2018-05-25,18,10.619,7.1,501,324,"Mary Shelley",2096600,108900,1987700,5.2,94.8
332562,"A Star Is Born",2018-10-05,18,61.423,7.5,6916,20,"A Star Is Born",434888866,215288866,219600000,49.5,50.5
332718,"Bilal: A New Breed of Hero",2018-02-02,28,6.681,6.9,60,426,"Bilal: A New Breed of Hero 2018 Re-release",576805,490973,85832,85.1,14.9
333339,"Ready Player One",2018-03-29,12,25.921,7.6,8023,12,"Ready Player One",582890172,137690172,445200000,23.6,76.4
334546,"In Searching",2018-12-04,12,0.6,0,0,858,"In Searching",5210,5210,0,100,0
335983,Venom,2018-10-05,28,37.059,6.6,7531,7,Venom,856085151,213515506,642569645,24.9,75.1
336843,"Maze Runner: The Death Cure",2018-01-26,28,21.704,7,4308,35,"Maze Runner: The Death Cure",288175335,58032443,230142892,20.1,79.9
337167,"Fifty Shades Freed",2018-02-09,18,20.455,6.2,3816,25,"Fifty Shades Freed",371985018,100407760,271577258,27,73
338768,"Please Stand By",2018-01-26,35,8.523,6.9,211,462,"Please Stand By",406732,9868,396864,2.4,97.6
338952,"Fantastic Beasts: The Crimes of Grindelwald",2018-11-16,12,27.632,6.9,5778,10,"Fantastic Beasts: The Crimes of Grindelwald",653755901,159555901,494200000,24.4,75.6
338970,"Tomb Raider",2018-03-16,28,19.857,6.3,4809,36,"Tomb Raider",274650803,58250803,216400000,21.2,78.8
339103,Gotti,2018-06-15,80,12.926,5.2,316,244,Gotti,6412349,4343227,2069122,67.7,32.3
339380,"On the Basis of Sex",2018-12-25,18,14.122,7.4,364,123,"On the Basis of Sex",38673750,24622687,14051063,63.7,36.3
340022,Gringo,2018-03-09,28,13.37,5.9,389,209,Gringo,11001627,4969853,6031774,45.2,54.8
340613,"The Wife",2018-08-17,18,13.7,7.2,568,167,"The Wife",18205312,9601092,8604220,52.7,47.3
341689,"How to Talk to Girls at Parties",2018-05-25,35,10.005,6.3,181,470,"How To Talk To Girls at Parties",385733,84809,300924,22,78
341735,"The Seagull",2018-05-11,35,7.423,5.8,35,335,"The Seagull",1820461,1252960,567501,68.8,31.2
345887,"The Equalizer 2",2018-07-20,53,22.583,6.5,2416,43,"The Equalizer 2",190400157,102084362,88315795,53.6,46.4
345940,"The Meg",2018-08-10,28,28.77,5.9,3401,15,"The Meg",530243742,145443742,384800000,27.4,72.6
346364,It,2017-09-08,27,22.786,7.2,12309,1,"Avengers: Infinity War",2048359754,678815482,1369544272,33.1,66.9
346364,It,2017-09-08,27,22.786,7.2,12309,28,"Peter Rabbit",351266433,115253424,236013009,32.8,67.2
346364,It,2017-09-08,27,22.786,7.2,12309,53,"The House with a Clock in Its Walls",131457147,68549695,62907452,52.1,47.9
346364,It,2017-09-08,27,22.786,7.2,12309,63,"Along With the Gods: The Last 49 Days",97962238,1200246,96761992,1.2,98.8
346364,It,2017-09-08,27,22.786,7.2,12309,65,"The Favourite",95918706,34366783,61551923,35.8,64.2
346364,It,2017-09-08,27,22.786,7.2,12309,80,Hereditary,79336821,44069456,35267365,55.5,44.5
346364,It,2017-09-08,27,22.786,7.2,12309,89,"Spirited Away 2018 Re-release",70186029,1175067,69010962,1.7,98.3
346364,It,2017-09-08,27,22.786,7.2,12309,101,"Teen Titans GO! to the Movies",52090236,29790236,22300000,57.2,42.8
346364,It,2017-09-08,27,22.786,7.2,12309,126,"Mia and the White Lion",35487190,399471,35087719,1.1,98.9
346364,It,2017-09-08,27,22.786,7.2,12309,144,"White Boy Rick",25957482,24011188,1946294,92.5,7.5
346364,It,2017-09-08,27,22.786,7.2,12309,204,"Ash Is Purest White",11813509,422814,11390695,3.6,96.4
346364,It,2017-09-08,27,22.786,7.2,12309,208,"At Eternity's Gate",11005713,2294915,8710798,20.9,79.1
346364,It,2017-09-08,27,22.786,7.2,12309,230,"Life Itself",7884399,4102648,3781751,52,48
346364,It,2017-09-08,27,22.786,7.2,12309,242,"Fahrenheit 11/9",6674168,6352306,321862,95.2,4.8
346364,It,2017-09-08,27,22.786,7.2,12309,247,"Mobile Suit Gundam Narrative",6126259,259224,5867035,4.2,95.8
346364,It,2017-09-08,27,22.786,7.2,12309,262,"Bad Samaritan",4623836,3435047,1188789,74.3,25.7
346364,It,2017-09-08,27,22.786,7.2,12309,263,Whitney,4605123,3026351,1578772,65.7,34.3
346364,It,2017-09-08,27,22.786,7.2,12309,281,"The Apparition",3562793,28293,3534500,0.8,99.2
346364,It,2017-09-08,27,22.786,7.2,12309,283,"The Metropolitan Opera HD Live: Puccini: Tosca",3473616,2023749,1449867,58.3,41.7
346364,It,2017-09-08,27,22.786,7.2,12309,293,"Tea With the Dames",3181152,889343,2291809,28,72
346364,It,2017-09-08,27,22.786,7.2,12309,302,"The Little Mermaid",2610742,147175,2463567,5.6,94.4
346364,It,2017-09-08,27,22.786,7.2,12309,316,"An Interview with God",2251795,1201434,1050361,53.4,46.6
346364,It,2017-09-08,27,22.786,7.2,12309,330,"The Metropolitan Opera HD Live: Verdi: La Traviata",1982588,1882931,99657,95,5
346364,It,2017-09-08,27,22.786,7.2,12309,334,"The Little Stranger",1824902,713143,1111759,39.1,60.9
346364,It,2017-09-08,27,22.786,7.2,12309,337,"The Metropolitan Opera HD Live: Puccini: La Bohème",1764201,1764201,0,100,0
346364,It,2017-09-08,27,22.786,7.2,12309,338,"The Metropolitan Opera HD Live: Massenet: Cendrillon",1747259,1243306,503953,71.2,28.8
346364,It,2017-09-08,27,22.786,7.2,12309,340,"A Faithful Man",1719282,77491,1641791,4.5,95.5
346364,It,2017-09-08,27,22.786,7.2,12309,345,"The Metropolitan Opera HD Live: Verdi: Aida",1595902,1595902,0,100,0
346364,It,2017-09-08,27,22.786,7.2,12309,353,"Little Women",1428125,1379497,48628,96.6,3.4
346364,It,2017-09-08,27,22.786,7.2,12309,356,"Swimming with Men",1377748,24708,1353040,1.8,98.2
346364,It,2017-09-08,27,22.786,7.2,12309,357,"Little Italy",1362536,990230,372306,72.7,27.3
346364,It,2017-09-08,27,22.786,7.2,12309,360,"The Metropolitan Opera HD Live: Rossini: Semiramide",1332900,1033651,299249,77.5,22.5
346364,It,2017-09-08,27,22.786,7.2,12309,361,"The Metropolitan Opera HD Live: Mozart: Così fan tutte",1302949,1302949,0,100,0
346364,It,2017-09-08,27,22.786,7.2,12309,368,"The Metropolitan Opera HD Live: Saint-Saëns: Samson et Dalila",1195758,1195758,0,100,0
346364,It,2017-09-08,27,22.786,7.2,12309,369,"The Metropolitan Opera HD Live: Verdi: Luisa Miller",1166858,1166858,0,100,0
346364,It,2017-09-08,27,22.786,7.2,12309,371,"Elliot the Littlest Reindeer 2018 Re-release",1145012,24262,1120750,2.1,97.9
346364,It,2017-09-08,27,22.786,7.2,12309,373,"The Metropolitan Opera HD Live: Donizetti: L'Elisir d'Amore",1115018,1115018,0,100,0
346364,It,2017-09-08,27,22.786,7.2,12309,376,"The Metropolitan Opera HD Live: Puccini: La Fanciulla del West",1023233,1023233,0,100,0
346364,It,2017-09-08,27,22.786,7.2,12309,381,Transit,982372,815290,167082,83,17
346364,It,2017-09-08,27,22.786,7.2,12309,388,"White Christmas 2018 Re-release",928298,928298,0,100,0
346364,It,2017-09-08,27,22.786,7.2,12309,394,"The Metropolitan Opera HD Live: Nico Muhly: Marnie",865551,849710,15841,98.2,1.8
346364,It,2017-09-08,27,22.786,7.2,12309,400,"Pick of the Litter",763688,578717,184971,75.8,24.2
346364,It,2017-09-08,27,22.786,7.2,12309,408,Itzhak,704968,607290,97678,86.1,13.9
346364,It,2017-09-08,27,22.786,7.2,12309,410,"Jim Henson's Holiday Special with Fraggle Rock and Emmet Otter",695130,695130,0,100,0
346364,It,2017-09-08,27,22.786,7.2,12309,429,"Kusama: Infinity",558052,360931,197121,64.7,35.3
346364,It,2017-09-08,27,22.786,7.2,12309,440,"Bullitt 2018 Re-release",511350,511350,0,100,0
346364,It,2017-09-08,27,22.786,7.2,12309,457,"Cirque du Soleil in Cinema: KURIOS - Cabinet of Curiosities",422760,413039,9721,97.7,2.3
346364,It,2017-09-08,27,22.786,7.2,12309,474,"Attack on Titan: Smoke Signal",377334,377334,0,100,0
346364,It,2017-09-08,27,22.786,7.2,12309,507,"Skate Kitchen",287307,236799,50508,82.4,17.6
346364,It,2017-09-08,27,22.786,7.2,12309,527,"RWBY: Argus Limited",238379,238379,0,100,0
346364,It,2017-09-08,27,22.786,7.2,12309,536,"Little Pink House",220948,220948,0,100,0
346364,It,2017-09-08,27,22.786,7.2,12309,537,"The Metropolitan Opera HD Live: Puccini: Turandot",219619,172627,46992,78.6,21.4
346364,It,2017-09-08,27,22.786,7.2,12309,549,"Rebel Without a Cause 2018 Re-release",199963,199963,0,100,0
346364,It,2017-09-08,27,22.786,7.2,12309,551,"Have It All -The Movie",197142,197142,0,100,0
346364,It,2017-09-08,27,22.786,7.2,12309,556,"Owaranai hito: Miyazaki Hayao",187320,187320,0,100,0
346364,It,2017-09-08,27,22.786,7.2,12309,566,"The Clovehitch Killer",167994,8208,159786,4.9,95.1
346364,It,2017-09-08,27,22.786,7.2,12309,583,"Mr. Smith Goes to Washington 2018 Re-release",144738,144738,0,100,0
346364,It,2017-09-08,27,22.786,7.2,12309,598,"The Metropolitan Opera HD Live: Puccini: Madama Butterfly",129730,129730,0,100,0
346364,It,2017-09-08,27,22.786,7.2,12309,599,"The Metropolitan Opera HD Live: Tchaikovsky: Eugene Onegin 2018 Re-release",129498,129498,0,100,0
346364,It,2017-09-08,27,22.786,7.2,12309,600,"The Metropolitan Opera HD Live: Verdi: Il Trovatore",129393,129393,0,100,0
346364,It,2017-09-08,27,22.786,7.2,12309,631,"Reign of Judges: Title of Liberty - Concept Short",98408,93224,5184,94.7,5.3
346364,It,2017-09-08,27,22.786,7.2,12309,659,"After Auschwitz",73885,73885,0,100,0
346364,It,2017-09-08,27,22.786,7.2,12309,681,"Bomb City",59329,59329,0,100,0
346364,It,2017-09-08,27,22.786,7.2,12309,688,"American Dream: Detroit",55092,55092,0,100,0
346364,It,2017-09-08,27,22.786,7.2,12309,707,"Hitler's Hollywood",43766,43766,0,100,0
346364,It,2017-09-08,27,22.786,7.2,12309,709,"Golden Exits",41888,41888,0,100,0
346364,It,2017-09-08,27,22.786,7.2,12309,714,"An Elephant Sitting Still",39599,32556,7043,82.2,17.8
346364,It,2017-09-08,27,22.786,7.2,12309,730,"PGS: Intuition Is Your Personal Guidance System",35423,35423,0,100,0
346364,It,2017-09-08,27,22.786,7.2,12309,741,"Charm City",29335,29335,0,100,0
346364,It,2017-09-08,27,22.786,7.2,12309,746,"An Evening with Beverly Luff Linn",27359,6701,20658,24.5,75.5
346364,It,2017-09-08,27,22.786,7.2,12309,819,"L'héritage de la chouette",12316,12316,0,100,0
346364,It,2017-09-08,27,22.786,7.2,12309,824,"Around India with a Movie Camera",11568,10389,1179,89.8,10.2
346364,It,2017-09-08,27,22.786,7.2,12309,826,"Bullitt County",11257,11257,0,100,0
346364,It,2017-09-08,27,22.786,7.2,12309,877,"The Citizen 2018 Re-release",3495,3495,0,100,0
346364,It,2017-09-08,27,22.786,7.2,12309,880,"Over the Limit",3243,3243,0,100,0
346910,"The Predator",2018-09-14,28,23.076,5.3,2377,47,"The Predator",160542134,51024708,109517426,31.8,68.2
347375,"Mile 22",2018-08-17,28,17.537,6,1119,93,"Mile 22",66308758,36108758,30200000,54.5,45.5
347866,"Hot Summer Nights",2017-03-14,18,8.991,6.6,187,523,"Hot Summer Nights",246133,0,246133,0,100
348350,"Solo: A Star Wars Story",2018-05-25,28,36.284,6.6,4470,23,"Solo: A Star Wars Story",392924807,213767512,179157295,54.4,45.6
351044,"Welcome to Marwen",2018-12-21,35,14.247,6.5,493,194,"Welcome to Marwen",13061491,10763520,2297971,82.4,17.6
351286,"Jurassic World: Fallen Kingdom",2018-06-22,28,30.743,6.5,6636,3,"Jurassic World: Fallen Kingdom",1308467944,417719760,890748184,31.9,68.1
353081,"Mission: Impossible - Fallout",2018-07-27,28,31.377,7.3,4373,8,"Mission: Impossible - Fallout",791115104,220159104,570956000,27.8,72.2
353486,"Jumanji: Welcome to the Jungle",2017-12-20,28,26.351,6.7,7988,699,"Jumanji/Jumanji: Welcome to the Jungle",49381,49381,0,100,0
354912,Coco,2017-11-22,12,36.988,8.2,9851,869,Cocote,4224,3815,409,90.3,9.7
356199,"Amazing Grace",2018-11-12,99,7.661,7.6,17,238,"Amazing Grace",7212253,4450456,2761797,61.7,38.3
358395,"Origin Story",2018-05-03,99,1.583,6,1,630,"Meow Wolf: Origin Story",99488,99488,0,100,0
360920,"The Grinch",2018-11-09,16,33.597,6.5,1323,18,"Dr. Seuss' The Grinch",511595957,270620950,240975007,52.9,47.1
361292,Suspiria,2018-10-26,14,20.338,6.9,1033,210,Suspiria,10917242,5458621,5458621,50,50
363088,"Ant-Man and the Wasp",2018-07-06,28,30.011,7,7337,11,"Ant-Man and the Wasp",622674139,216648740,406025399,34.8,65.2
367153,"Poor Boy",2018-07-13,18,2.668,5,3,738,"Poor Boy",31031,31031,0,100,0
369523,"The Tale",2018-01-20,18,12.327,7.3,204,545,"Heading Home: The Tale of Team Israel",207533,207533,0,100,0
369972,"First Man",2018-10-12,18,21.741,7.1,2869,59,"First Man",105697415,44936545,60760870,42.5,57.5
370567,"Sherlock Gnomes",2018-03-23,16,15.878,5.5,395,73,"Sherlock Gnomes",90345871,43242871,47103000,47.9,52.1
370756,"Always at The Carlyle",2018-05-11,99,3.241,7,3,563,"Always at The Carlyle",174251,174251,0,100,0
371608,"The Strangers: Prey at Night",2018-03-09,27,15.817,5.4,738,135,"The Strangers: Prey at Night",31039126,24586708,6452418,79.2,20.8
